Word,uniqueID,defs_wordNet,n_synsets,rateGPTLaura,rateSandbox,ambigious_final,comment
aardvark,aardvark,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata',1,,0,0,
abacus,abacus,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave';;'a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves',2,,[0 0],0,
accordion,accordion,a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player',1,,0,0,
acorn,acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base',1,,0,0,
air conditioner,air_conditioner,a system that keeps air cool and dry',1,,0,0,
air mattress,air_mattress,a mattress that can be stored flat and inflated for use',1,,0,0,
air pump,air_pump,a pump that moves air in or out of something',1,,0,0,
airbag,airbag,,,,0,0,
airboat,airboat,,,,0,0,
aircraft carrier,aircraft_carrier,a large warship that carries planes and has a long flat deck for takeoffs and landings',1,,0,0,
airplane,airplane,an aircraft that has a fixed wing and is powered by propellers or jets',1,,0,0,
alligator,alligator,'leather made from alligator\'s hide\';;\'either of two amphibious reptiles related to crocodiles but with shorter broader snouts\'',2,,[0 0],0,
almond,almond,small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California';;'oval-shaped edible seed of the almond tree',2,,[0],0,
aloe,aloe,succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers; found chiefly in Africa',1,,0,0,
alpaca,alpaca,"wool of the alpaca';;'a thin glossy fabric made of the wool of the Lama pacos, or made of a rayon or cotton imitation of that wool';;'domesticated llama with long silky fleece; believed to be a domesticated variety of the guanaco'",3,,[0 0],0,
altar,altar,the table in Christian churches where communion is given';;'a raised structure on which gifts or sacrifices to a god are made',2,,[0 0],0,
aluminum foil,aluminum_foil,foil made of aluminum',1,,0,0,
amber,amber,a deep yellow color';;'a hard yellowish to brownish translucent fossil resin; used for jewelry',2,,[0 0 0],0,
ambulance,ambulance,a vehicle that takes people to and from hospitals',1,,0,0,
amplifier,amplifier,electronic equipment that increases strength of signals passing through it',1,,0,0,
anchor,anchor,a mechanical device that prevents a vessel from moving';;'a central cohesive source of support and stability';;'a television reporter who coordinates a broadcast to which several correspondents contribute',3,,[0 0],0,
ankle,ankle,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus',1,,0,0,
anklet,anklet,a shoe for a child or woman that has a strap around the ankle';;'a sock that reaches just above the ankle';;'an ornament worn around the ankle',3,,[0 0],0,
ant,ant,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers',1,,0,0,
anteater,anteater,toothless mammal of southern Africa and Asia having a body covered with horny scales and a long snout for feeding on ants and termites';;'any of several tropical American mammals of the family Myrmecophagidae which lack teeth and feed on ants and termites';;'nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata';;'small Australian marsupial having long snout and strong claws for feeding on termites; nearly extinct';;'a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to New Guinea';;'a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia',6,,[0 0],0,
